City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Basco,PH,2022-12-08 23:03:06,20.4487,121.9702,78.75,81,88,19.1
1,Berdigestyakh,RU,2022-12-08 23:03:06,62.0989,126.6992,-24.23,97,100,5.64
2,Bredasdorp,ZA,2022-12-08 23:03:07,-34.5322,20.0403,67.62,90,78,6.8
3,Ushuaia,AR,2022-12-08 23:00:58,-54.8,-68.3,41.31,94,99,5.41
4,Hobart,AU,2022-12-08 23:00:12,-42.8794,147.3294,57.06,71,20,14.97
5,Bilma,NE,2022-12-08 23:03:08,18.6853,12.9164,66.88,19,15,4.94
6,Maunabo,PR,2022-12-08 23:03:08,18.0072,-65.8993,77.29,76,0,8.88
7,Khuzhir,RU,2022-12-08 23:03:08,53.1939,107.3397,13.69,67,100,12.57
8,Saint-Philippe,RE,2022-12-08 23:03:09,-21.3585,55.7679,74.79,87,26,12.97
9,Eenhana,NA,2022-12-08 23:03:09,-17.4667,16.3333,71.22,21,2,4.97
10,Mahebourg,MU,2022-12-08 23:01:14,-20.4081,57.7,77.29,83,75,11.5
11,Jieshi,CN,2022-12-08 23:03:11,22.8134,115.8257,60.13,76,0,9.01
12,Port Hedland,AU,2022-12-08 23:03:12,-20.3167,118.5667,78.85,78,0,12.66
13,Komsomolskiy,UZ,2022-12-08 23:03:13,40.4272,71.7189,30.92,93,100,6.91
14,Bloemfontein,ZA,2022-12-08 23:00:35,-29.1211,26.214,65.34,67,100,10.18
15,Arcata,US,2022-12-08 22:59:58,40.8665,-124.0828,47.25,96,100,3.0
16,Hermanus,ZA,2022-12-08 23:03:15,-34.4187,19.2345,71.8,84,46,7.58
17,Kodiak,US,2022-12-08 23:03:15,57.79,-152.4072,28.9,63,2,15.46
18,Albany,US,2022-12-08 23:03:16,42.6001,-73.9662,41.41,75,82,5.59
19,Kapaa,US,2022-12-08 23:03:16,22.0752,-159.319,82.38,74,96,8.99
20,Dikson,RU,2022-12-08 23:03:17,73.5069,80.5464,-0.38,96,98,16.55
21,Voznesenye,RU,2022-12-08 23:03:18,61.0106,35.4781,24.01,86,95,11.56
22,Clyde River,CA,2022-12-08 23:03:19,70.4692,-68.5914,0.54,88,100,4.32
23,Hasaki,JP,2022-12-08 23:03:19,35.7333,140.8333,44.22,73,100,11.56
24,Severo-Kurilsk,RU,2022-12-08 23:03:20,50.6789,156.125,24.31,62,74,11.77
25,Indiana,US,2022-12-08 23:00:52,40.0003,-86.2503,43.43,91,100,5.75
26,Kavaratti,IN,2022-12-08 23:03:20,10.5669,72.642,82.09,67,99,12.48
27,Banjarmasin,ID,2022-12-08 23:00:25,-3.3244,114.591,73.54,87,73,2.33
28,Bengkulu,ID,2022-12-08 23:03:21,-3.8004,102.2655,74.16,90,100,4.74
29,Dawei,MM,2022-12-08 23:03:22,14.0833,98.2,72.59,88,41,3.74
30,Tuktoyaktuk,CA,2022-12-08 23:03:22,69.4541,-133.0374,-23.33,93,16,8.97
31,Nanortalik,GL,2022-12-08 23:03:23,60.1432,-45.2371,24.67,76,85,6.78
32,Airai,TL,2022-12-08 23:03:24,-8.9266,125.4092,64.45,72,86,2.33
33,Atuona,PF,2022-12-08 23:03:25,-9.8,-139.0333,77.9,67,65,13.98
34,Namibe,AO,2022-12-08 23:03:26,-15.1961,12.1522,69.53,77,65,4.74
35,Cairns,AU,2022-12-08 23:00:45,-16.9167,145.7667,84.15,61,78,3.44
36,Bluff,NZ,2022-12-08 23:03:27,-46.6,168.3333,63.81,80,100,2.3
37,Da Nang,VN,2022-12-08 23:03:27,16.0678,108.2208,73.38,94,75,1.14
38,Samana,DO,2022-12-08 23:03:28,19.2056,-69.3369,75.16,87,32,7.11
39,Jamestown,US,2022-12-08 23:03:28,42.097,-79.2353,39.02,64,100,5.75
40,Rikitea,PF,2022-12-08 23:03:28,-23.1203,-134.9692,75.33,78,71,12.62
41,Alingsas,SE,2022-12-08 23:03:29,57.9303,12.5335,30.78,85,100,5.41
42,Tasiilaq,GL,2022-12-08 23:03:29,65.6145,-37.6368,23.16,60,43,5.21
43,Beloha,MG,2022-12-08 23:03:29,-25.1667,45.05,72.5,81,2,14.41
44,Hilo,US,2022-12-08 23:00:10,19.7297,-155.09,79.25,91,86,4.0
45,Dingle,PH,2022-12-08 23:03:30,10.9995,122.6711,74.82,95,100,5.64
46,Wajima,JP,2022-12-08 23:03:31,37.4,136.9,47.3,71,51,3.96
47,Mar Del Plata,AR,2022-12-08 23:03:31,-38.0023,-57.5575,71.83,53,0,8.63
48,Guerrero Negro,MX,2022-12-08 23:04:31,27.9769,-114.0611,65.55,55,52,16.53
49,Carnarvon,AU,2022-12-08 23:04:33,-24.8667,113.6333,68.86,66,73,15.55
50,Pevek,RU,2022-12-08 23:04:33,69.7008,170.3133,-17.68,95,86,3.09
51,Cabo San Lucas,MX,2022-12-08 23:04:02,22.8909,-109.9124,82.62,69,0,3.44
52,Urshelskiy,RU,2022-12-08 23:04:33,55.6783,40.2169,20.43,94,100,8.03
53,Vaini,TO,2022-12-08 23:04:34,-21.2,-175.2,86.16,74,40,13.8
54,Saint-Augustin,CA,2022-12-08 23:04:34,51.226,-58.6502,35.11,90,100,11.05
55,Provideniya,RU,2022-12-08 23:04:35,64.3833,-173.3,15.37,85,0,4.47
56,Puerto Ayora,EC,2022-12-08 23:04:36,-0.7393,-90.3518,72.55,86,39,1.99
57,Barrow,US,2022-12-08 23:04:19,71.2906,-156.7887,10.42,85,100,4.61
58,Souillac,MU,2022-12-08 23:04:37,-20.5167,57.5167,77.38,83,75,11.5
59,Krabi,TH,2022-12-08 23:04:37,8.0726,98.9105,73.36,91,100,6.64
60,Banjar,ID,2022-12-08 23:04:37,-8.19,114.9675,77.38,85,57,5.17
61,Sinnamary,GF,2022-12-08 23:04:38,5.3833,-52.95,78.04,86,100,8.48
62,Vestmannaeyjar,IS,2022-12-08 23:03:14,63.4427,-20.2734,29.46,58,10,16.91
63,Hithadhoo,MV,2022-12-08 23:04:38,-0.6,73.0833,82.33,76,100,18.12
64,Brufut,GM,2022-12-08 23:04:39,13.3814,-16.7518,77.67,75,0,19.26
65,Asyut,EG,2022-12-08 23:04:39,27.181,31.1837,61.68,43,84,3.31
