,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cape Town,ZA,72.37,clear sky,-33.9258,18.4232,Townhouse Hotel
4,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Forum
10,Beberibe,BR,78.13,scattered clouds,-4.1797,-38.1306,Pousada Ibitu
11,Atar,MR,75.22,few clouds,20.5169,-13.0499,فندق سكليل
13,Saint-Philippe,RE,81.99,scattered clouds,-21.3585,55.7679,Le Baril
14,Rikitea,PF,76.32,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
19,Phalodi,IN,75.52,clear sky,27.1333,72.3667,LAL NIWAS
20,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Pearl Resort
25,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti International Resort
26,Araguari,BR,72.41,overcast clouds,-18.6472,-48.1872,Palace Hotel
31,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Pono Kai Resort
47,Tete,MZ,76.8,scattered clouds,-16.1564,33.5867,Zambezi Hotel
50,Camocim,BR,76.89,few clouds,-2.9022,-40.8411,Hotel Dunas
54,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Pebbles Inn
55,Along,IN,73.62,clear sky,28.1667,94.7667,Hotel Toshi Palace
60,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Ocean Centre Hotel
63,Hilo,US,71.26,light rain,19.7297,-155.09,Dolphin Bay Hotel
66,Christchurch,NZ,79.0,few clouds,-43.5333,172.6333,Ibis Hotel Christchurch
69,Koumac,NC,83.5,scattered clouds,-20.5667,164.2833,Monitel Koumac
71,Tucuman,AR,84.2,overcast clouds,-26.8241,-65.2226,Suites San Luis
76,Port Elizabeth,ZA,71.31,overcast clouds,-33.918,25.5701,Waterford Hotel
83,Salta,AR,73.58,overcast clouds,-24.7859,-65.4117,Ayres de Salta Hotel
85,Sao Joao Da Barra,BR,73.18,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
94,Port Lincoln,AU,81.64,clear sky,-34.7333,135.8667,Boston Hotel
96,San Rafael,AR,75.33,clear sky,-34.6177,-68.3301,Hotel Regional
97,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Horisun
100,Santa Luzia,BR,72.5,scattered clouds,-19.7697,-43.8514,Alcoboca
109,Sur,OM,79.61,light rain,22.5667,59.5289,Sur Hotel
118,Ambilobe,MG,82.56,light rain,-13.2,49.05,Hôtel National
123,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Prainha
125,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Page 63 hostel
128,Kavieng,PG,83.86,scattered clouds,-2.5744,150.7967,Kavieng Hotel
129,Nishihara,JP,76.28,few clouds,26.1842,127.7558,ユインチホテル南城
132,Mananara,MG,79.18,light rain,-16.1667,49.7667,Chez Roger
136,Cidreira,BR,70.2,scattered clouds,-30.1811,-50.2056,Hotel Castelo
139,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
141,Isangel,VU,84.29,overcast clouds,-19.55,169.2667,Tanna Lodge
144,Santa Cruz,BO,80.06,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
149,Faanui,PF,79.93,scattered clouds,-16.4833,-151.75,Oa Oa Lodge
157,Gilbues,BR,70.88,broken clouds,-9.8317,-45.3439,Hotel Camapua
158,Bengkulu,ID,82.8,overcast clouds,-3.8004,102.2655,Dena Hotel
160,Maxixe,MZ,79.34,scattered clouds,-23.8597,35.3472,Hotel Herry
161,Tutoia,BR,79.21,scattered clouds,-2.7619,-42.2744,Pousada San Vicente
162,Clarence Town,AU,70.14,overcast clouds,-32.5833,151.7833,Erringhi Hotel
166,Kuching,MY,88.05,scattered clouds,1.55,110.3333,Hotel Samudera
174,Hambantota,LK,80.29,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
177,Madang,PG,84.72,overcast clouds,-5.2246,145.7966,Madang Star International
181,Cayenne,GF,75.24,few clouds,4.9333,-52.3333,Central Hôtel
196,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Coco Villa
200,Mazatlan,MX,73.02,clear sky,23.2167,-106.4167,Mona Inn
202,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
205,Chuy,UY,71.64,overcast clouds,-33.6971,-53.4616,Alerces
213,Broken Hill,AU,87.12,scattered clouds,-31.95,141.4333,Ibis Styles
214,Key West,US,80.6,clear sky,24.5557,-81.7826,Harborside Hotel & Marina
215,Takoradi,GH,78.91,clear sky,4.8845,-1.7554,Hillcrest
218,Yei,SS,70.74,light rain,4.095,30.6779,New Tokyo
220,Lorengau,PG,83.61,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
221,Daru,PG,82.04,overcast clouds,-9.0763,143.2092,Kuki
228,Angoche,MZ,80.89,light rain,-16.2325,39.9086,Hotel Quirimbas
230,Yenagoa,NG,75.04,clear sky,4.9247,6.2642,Peretimi Hotels Ltd.
233,Touros,BR,77.77,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
235,Mercedes,AR,70.86,overcast clouds,-34.6515,-59.4307,Gran Hotel Mercedes
236,Meulaboh,ID,78.3,overcast clouds,4.1363,96.1285,Hotel Meuligou
238,Victoria,HK,74.03,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
242,Moron,AR,73.15,overcast clouds,-34.6534,-58.6198,La Esquina
245,Noumea,NC,86.0,light rain,-22.2763,166.4572,Hotel Gondwana
248,Hervey Bay,AU,74.35,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
254,Guayaramerin,BO,77.31,broken clouds,-10.8368,-65.3614,Hotel Anexo Plaza
255,Puerto Ayacucho,VE,73.71,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
259,Ishigaki,JP,72.12,clear sky,24.3448,124.1572,アートホテル石垣島
267,Matara,LK,80.94,heavy intensity rain,5.9485,80.5353,Villa Palm Breeze
270,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Grand Bel Air
271,Simao,CN,71.28,clear sky,22.7886,100.9748,Marvelous Land Hotel
274,Sokolo,ML,72.39,clear sky,14.7328,-6.1219,Mairie de la Commune de Sokolo
276,Anloga,GH,80.38,few clouds,5.7947,0.8973,Hotel de White House
277,Tanah Merah,MY,75.02,moderate rain,5.8,102.15,Mawar Chalet
281,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue
284,Praya,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
297,Palu,ID,87.57,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
302,Loandjili,CG,75.65,moderate rain,-4.7561,11.8578,Le Raphia Guest House
306,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Cape Garden
308,Mount Gambier,AU,77.67,light rain,-37.8333,140.7667,The Old Mount Gambier Gaol
309,Isla Mujeres,MX,73.45,light rain,21.2311,-86.731,Villa La Bella
311,Alta Floresta,BR,70.02,light rain,-9.8756,-56.0861,Villas Hotel
317,Kralendijk,BQ,73.38,clear sky,12.15,-68.2667,Hotel Bonaire Inn
319,Oussouye,SN,73.58,clear sky,12.485,-16.5469,Campement Alulum
321,Souillac,MU,79.18,light rain,-20.5167,57.5167,Hotel SkylineInn
325,Sungaipenuh,ID,71.6,broken clouds,-2.0833,101.3833,Hotel Matahari
334,Areia Branca,BR,78.24,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
337,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Hôtel 6500 CFA
338,Kapoeta,SS,77.31,light rain,4.7717,33.5903,Kuleu
341,Sao Felix Do Xingu,BR,71.17,overcast clouds,-6.6447,-51.995,Hotel Terraço
343,Parana,AR,76.55,moderate rain,-31.732,-60.5238,Grand Hotel Alvear
345,Sao Filipe,CV,75.67,clear sky,14.8961,-24.4956,Bela Vista
351,Fare,PF,79.57,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
352,Maraba,BR,77.18,light rain,-5.3686,-49.1178,Portobelo
357,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
363,Muisne,EC,74.25,overcast clouds,0.6,-80.0333,Hostal Té de Menta
367,Catuday,PH,80.24,overcast clouds,16.2923,119.8062,Nina Anchors Inn
