City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Cristobal,VE,7.7669,-72.225,64.58,95,72,1.07,broken clouds
1,Cape Town,ZA,-33.9258,18.4232,72.37,73,5,10.0,clear sky
2,Carnarvon,AU,-24.8667,113.6333,76.37,48,0,16.42,clear sky
3,Lompoc,US,34.6391,-120.4579,54.79,96,100,9.22,overcast clouds
4,Luanda,AO,-8.8368,13.2343,78.8,89,75,4.61,broken clouds
5,Tiksi,RU,71.6872,128.8694,-29.47,100,79,5.12,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,-12.82,97,100,4.76,overcast clouds
7,Albany,US,42.6001,-73.9662,25.65,70,0,1.99,clear sky
8,Hobart,AU,-42.8794,147.3294,66.22,63,75,5.75,broken clouds
9,Ostrovnoy,RU,68.0531,39.5131,20.66,90,100,16.11,overcast clouds
10,Beberibe,BR,-4.1797,-38.1306,78.13,81,29,11.05,scattered clouds
11,Atar,MR,20.5169,-13.0499,75.22,25,14,4.94,few clouds
12,Tulun,RU,54.5611,100.5792,11.73,60,15,4.7,few clouds
13,Saint-Philippe,RE,-21.3585,55.7679,81.99,84,25,11.34,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,76.32,79,11,11.32,few clouds
15,Hasaki,JP,35.7333,140.8333,60.22,56,44,9.6,scattered clouds
16,Katsuura,JP,35.1333,140.3,56.91,56,52,7.05,broken clouds
17,Yerazgavors,AM,40.7,43.75,32.77,80,100,0.0,overcast clouds
18,Havelock,US,34.8791,-76.9013,48.92,86,0,9.22,clear sky
19,Phalodi,IN,27.1333,72.3667,75.52,21,0,7.49,clear sky
20,Atuona,PF,-9.8,-139.0333,77.13,73,18,6.04,few clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,75,1.99,broken clouds
22,New Norfolk,AU,-42.7826,147.0587,65.88,47,99,1.99,moderate rain
23,Ribeira Grande,PT,38.5167,-28.7,65.77,94,72,20.0,broken clouds
24,Waipawa,NZ,-41.4122,175.5153,64.63,68,100,7.38,overcast clouds
25,Vaini,TO,-21.2,-175.2,75.36,100,100,11.5,moderate rain
26,Araguari,BR,-18.6472,-48.1872,72.41,63,88,5.01,overcast clouds
27,Kodiak,US,57.79,-152.4072,29.71,43,0,8.05,clear sky
28,Klaksvik,FO,62.2266,-6.589,36.52,67,96,32.3,light rain
29,Bethel,US,41.3712,-73.414,34.16,63,0,0.0,clear sky
30,Saskylakh,RU,71.9167,114.0833,-14.82,100,99,4.25,overcast clouds
31,Kapaa,US,22.0752,-159.319,77.32,74,40,16.11,scattered clouds
32,Kautokeino,NO,69.0125,23.0412,4.41,96,95,6.82,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,68.83,76,5,3.94,clear sky
34,Ushuaia,AR,-54.8,-68.3,40.66,70,0,24.16,clear sky
35,Talnakh,RU,69.4865,88.3972,-23.26,93,27,2.35,scattered clouds
36,Provideniya,RU,64.3833,-173.3,23.41,93,98,8.08,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,63.48,88,95,4.72,moderate rain
38,Hermanus,ZA,-34.4187,19.2345,66.79,79,1,4.12,clear sky
39,Komsomolskiy,UZ,40.4272,71.7189,29.12,80,100,0.0,mist
40,Grindavik,IS,63.8424,-22.4338,28.87,74,0,9.22,clear sky
41,Bulgan,MN,48.8125,103.5347,5.45,62,1,2.68,clear sky
42,Cururupu,BR,-1.8283,-44.8683,74.66,92,10,2.8,clear sky
43,Constitucion,CL,-35.3333,-72.4167,57.87,77,8,9.71,clear sky
44,Khatanga,RU,71.9667,102.5,-10.32,99,100,5.12,overcast clouds
45,Qaanaaq,GL,77.484,-69.3632,7.9,95,100,2.66,light snow
46,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,6.91,scattered clouds
47,Tete,MZ,-16.1564,33.5867,76.8,80,35,5.03,scattered clouds
48,Butaritari,KI,3.0707,172.7902,81.86,79,43,17.38,scattered clouds
49,Anadyr,RU,64.75,177.4833,12.7,72,40,2.24,scattered clouds
50,Camocim,BR,-2.9022,-40.8411,76.89,87,18,10.6,few clouds
51,Nguru,NG,12.8791,10.4526,62.74,15,15,9.06,few clouds
52,Tasiilaq,GL,65.6145,-37.6368,24.96,59,7,5.97,clear sky
53,Barrow,US,71.2906,-156.7887,1.42,85,0,10.36,clear sky
54,Hithadhoo,MV,-0.6,73.0833,81.82,76,92,14.25,overcast clouds
55,Along,IN,28.1667,94.7667,73.62,39,2,1.59,clear sky
56,Guerrero Negro,MX,27.9769,-114.0611,59.0,71,0,11.5,clear sky
57,Yellowknife,CA,62.456,-114.3525,1.02,98,100,2.33,overcast clouds
58,Port Alfred,ZA,-33.5906,26.891,70.18,89,97,8.99,overcast clouds
59,Muros,ES,42.7762,-9.0603,45.09,80,13,11.41,few clouds
60,Geraldton,AU,-28.7667,114.6,75.61,46,1,21.85,clear sky
61,Bluff,NZ,-46.6,168.3333,63.81,82,84,12.44,light rain
62,Nome,US,64.5011,-165.4064,29.16,100,100,5.75,mist
63,Hilo,US,19.7297,-155.09,71.26,89,75,8.01,light rain
64,Henties Bay,NA,-22.116,14.2845,59.27,95,34,3.85,scattered clouds
65,Chapais,CA,49.7834,-74.8492,-7.11,92,8,5.97,clear sky
66,Christchurch,NZ,-43.5333,172.6333,79.0,29,21,13.8,few clouds
67,Ust-Tsilma,RU,65.441,52.1498,-13.16,99,100,3.27,overcast clouds
68,Dikson,RU,73.5069,80.5464,-2.2,100,100,9.91,overcast clouds
69,Koumac,NC,-20.5667,164.2833,83.5,69,35,4.18,scattered clouds
70,Granadilla De Abona,ES,28.1188,-16.576,65.44,90,40,6.91,scattered clouds
71,Tucuman,AR,-26.8241,-65.2226,84.2,48,100,8.05,overcast clouds
72,Hofn,IS,64.2539,-15.2082,33.85,66,8,20.29,clear sky
73,Colares,PT,38.7992,-9.4469,58.75,83,99,8.99,overcast clouds
74,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,48,9.62,light rain
75,Sitka,US,57.0531,-135.33,33.69,86,75,3.44,light snow
76,Port Elizabeth,ZA,-33.918,25.5701,71.31,83,100,15.99,overcast clouds
77,Poshekhonye,RU,58.4993,39.1353,18.05,97,100,3.24,overcast clouds
